date,time,latitude,longitude
2024-12-30,13:40:29,19.0620050,72.9008740
2024-12-30,13:40:30,19.0620000,72.9008870
2024-12-30,13:40:31,19.0619940,72.9009000
2024-12-30,13:40:32,19.0619890,72.9009130
2024-12-30,13:40:33,19.0619840,72.9009250
2024-12-30,13:40:34,19.0619790,72.9009380
2024-12-30,13:40:35,19.0619730,72.9009510
2024-12-30,13:40:36,19.0619680,72.9009640
2024-12-30,13:40:37,19.0619540,72.9009930
2024-12-30,13:40:38,19.0619580,72.9010520
2024-12-30,13:40:39,19.0619460,72.9010850
2024-12-30,13:40:40,19.0619340,72.9011160
2024-12-30,13:40:41,19.0619080,72.9011660
2024-12-30,13:40:42,19.0618940,72.9011970
2024-12-30,13:40:43,19.0618800,72.9012240
2024-12-30,13:40:44,19.0618590,72.9012660
2024-12-30,13:40:45,19.0618460,72.9013030
2024-12-30,13:40:46,19.0618400,72.9013170
2024-12-30,13:40:47,19.0618290,72.9013470
2024-12-30,13:40:48,19.0618180,72.9013770
2024-12-30,13:40:49,19.0618060,72.9014080
2024-12-30,13:40:50,19.0617830,72.9014580
2024-12-30,13:40:51,19.0617690,72.9014960
2024-12-30,13:40:52,19.0617490,72.9015510
2024-12-30,13:40:53,19.0617210,72.9016030
2024-12-30,13:40:54,19.0617040,72.9016460
2024-12-30,13:40:55,19.0616900,72.9016850
2024-12-30,13:40:56,19.0616740,72.9017280
2024-12-30,13:40:57,19.0616580,72.9017670
2024-12-30,13:40:58,19.0616460,72.9018060
2024-12-30,13:40:59,19.0616350,72.9018390
2024-12-30,13:41:00,19.0616410,72.9018680
2024-12-30,13:41:01,19.0616470,72.9018780
2024-12-30,13:41:02,19.0616330,72.9019100
2024-12-30,13:41:03,19.0616260,72.9019240
2024-12-30,13:41:04,19.0616070,72.9019530
2024-12-30,13:41:05,19.0615890,72.9019860
2024-12-30,13:41:06,19.0615700,72.9020180
2024-12-30,13:41:07,19.0615500,72.9020570
2024-12-30,13:41:08,19.0615290,72.9021020
2024-12-30,13:41:09,19.0615050,72.9021470
2024-12-30,13:41:10,19.0614810,72.9021970
2024-12-30,13:41:11,19.0614610,72.9022480
2024-12-30,13:41:12,19.0614390,72.9023000
2024-12-30,13:41:13,19.0614160,72.9023510
2024-12-30,13:41:14,19.0613960,72.9024040
2024-12-30,13:41:15,19.0613780,72.9024630
2024-12-30,13:41:16,19.0613540,72.9025130
2024-12-30,13:41:17,19.0613260,72.9025640
2024-12-30,13:41:18,19.0613160,72.9026020
2024-12-30,13:41:19,19.0612900,72.9026500
2024-12-30,13:41:20,19.0612640,72.9026980
2024-12-30,13:41:21,19.0612370,72.9027450
