date,time,latitude,longitude
2024-12-03,13:38:01,19.0610020,72.9034940
2024-12-03,13:38:02,19.0609910,72.9034960
2024-12-03,13:38:03,19.0609930,72.9034970
2024-12-03,13:38:04,19.0609930,72.9034970
2024-12-03,13:38:05,19.0609920,72.9034960
2024-12-03,13:38:06,19.0609920,72.9034960
2024-12-03,13:38:07,19.0609920,72.9034960
2024-12-03,13:38:08,19.0609830,72.9034980
2024-12-03,13:38:09,19.0609820,72.9034960
2024-12-03,13:38:10,19.0609820,72.9034960
2024-12-03,13:38:11,19.0609850,72.9034900
2024-12-03,13:38:21,19.0609280,72.9035480
2024-12-03,13:38:23,19.0609170,72.9035650
2024-12-03,13:38:24,19.0608960,72.9036040
2024-12-03,13:38:25,19.0608870,72.9036190
2024-12-03,13:38:26,19.0608720,72.9036480
2024-12-03,13:38:27,19.0608580,72.9036770
2024-12-03,13:38:28,19.0608410,72.9037090
2024-12-03,13:38:29,19.0608290,72.9037440
2024-12-03,13:38:30,19.0608140,72.9037810
2024-12-03,13:38:31,19.0608020,72.9038200
2024-12-03,13:38:32,19.0607900,72.9038570
2024-12-03,13:38:33,19.0607810,72.9038960
2024-12-03,13:38:34,19.0607710,72.9039290
2024-12-03,13:38:35,19.0607560,72.9039650
2024-12-03,13:38:36,19.0607400,72.9040020
2024-12-03,13:38:37,19.0607230,72.9040440
2024-12-03,13:38:38,19.0607080,72.9040850
2024-12-03,13:38:39,19.0606900,72.9041210
2024-12-03,13:38:40,19.0606670,72.9041510
2024-12-03,13:38:41,19.0606520,72.9041840
2024-12-03,13:38:42,19.0606350,72.9042180
2024-12-03,13:38:43,19.0606110,72.9042510
2024-12-03,13:38:44,19.0605980,72.9042890
2024-12-03,13:38:45,19.0605820,72.9043270
2024-12-03,13:38:46,19.0605630,72.9043690
2024-12-03,13:38:47,19.0605420,72.9044110
2024-12-03,13:38:48,19.0605220,72.9044540
2024-12-03,13:38:49,19.0605000,72.9045000
2024-12-03,13:38:50,19.0604810,72.9045450
2024-12-03,13:38:51,19.0604600,72.9045900
2024-12-03,13:38:52,19.0604420,72.9046370
2024-12-03,13:38:53,19.0604190,72.9046850
2024-12-03,13:38:54,19.0603990,72.9047320
2024-12-03,13:38:55,19.0603770,72.9047820
2024-12-03,13:38:56,19.0603520,72.9048290
2024-12-03,13:38:57,19.0603290,72.9048780
2024-12-03,13:38:58,19.0603050,72.9049300
2024-12-03,13:38:59,19.0602850,72.9049840
2024-12-03,13:39:00,19.0602610,72.9050340
2024-12-03,13:39:01,19.0602410,72.9050850
2024-12-03,13:39:02,19.0602190,72.9051300
2024-12-03,13:39:03,19.0601960,72.9051660
2024-12-03,13:39:04,19.0601810,72.9052040
2024-12-03,13:39:05,19.0601630,72.9052440
2024-12-03,13:39:06,19.0601480,72.9052730
2024-12-03,13:39:07,19.0601410,72.9052880
2024-12-03,13:39:08,19.0601400,72.9053090
2024-12-03,13:39:09,19.0601270,72.9053180
2024-12-03,13:39:10,19.0601230,72.9053350
2024-12-03,13:39:11,19.0601080,72.9053710
2024-12-03,13:39:12,19.0601010,72.9053850
2024-12-03,13:39:13,19.0600890,72.9054200
2024-12-03,13:39:14,19.0600750,72.9054530
2024-12-03,13:39:15,19.0600600,72.9054900
2024-12-03,13:39:16,19.0600360,72.9055260
2024-12-03,13:39:17,19.0600250,72.9055690
2024-12-03,13:39:18,19.0600100,72.9055970
2024-12-03,13:39:19,19.0600070,72.9056080
2024-12-03,13:39:20,19.0600040,72.9056190
2024-12-03,13:39:21,19.0600000,72.9056300
2024-12-03,13:39:22,19.0599900,72.9056580
2024-12-03,13:39:23,19.0599770,72.9056890
2024-12-03,13:39:24,19.0599630,72.9057220
2024-12-03,13:39:25,19.0599480,72.9057560
2024-12-03,13:39:26,19.0599300,72.9057930
2024-12-03,13:39:27,19.0599160,72.9058310
2024-12-03,13:39:28,19.0599040,72.9058620
2024-12-03,13:39:29,19.0598900,72.9058920
2024-12-03,13:39:30,19.0598730,72.9059270
2024-12-03,13:39:31,19.0598550,72.9059620
2024-12-03,13:39:32,19.0598340,72.9060000
2024-12-03,13:39:33,19.0598160,72.9060410
2024-12-03,13:39:34,19.0597970,72.9060820
2024-12-03,13:39:35,19.0597810,72.9061270
2024-12-03,13:39:36,19.0597610,72.9061700
2024-12-03,13:39:37,19.0597390,72.9062140
2024-12-03,13:39:38,19.0597180,72.9062600
2024-12-03,13:39:39,19.0596950,72.9063070
2024-12-03,13:39:40,19.0596720,72.9063570
2024-12-03,13:39:41,19.0596510,72.9064060
2024-12-03,13:39:42,19.0596260,72.9064560
2024-12-03,13:39:43,19.0596010,72.9065050
2024-12-03,13:39:44,19.0595790,72.9065550
2024-12-03,13:39:45,19.0595550,72.9066040
2024-12-03,13:39:46,19.0595320,72.9066550
2024-12-03,13:39:47,19.0595110,72.9067060
2024-12-03,13:39:48,19.0594920,72.9067540
2024-12-03,13:39:49,19.0594710,72.9068020
2024-12-03,13:39:50,19.0594500,72.9068480
2024-12-03,13:39:51,19.0594290,72.9068880
2024-12-03,13:39:52,19.0594110,72.9069230
2024-12-03,13:39:53,19.0593890,72.9069560
2024-12-03,13:39:54,19.0593750,72.9069910
2024-12-03,13:39:55,19.0593600,72.9070220
2024-12-03,13:39:56,19.0593400,72.9070600
2024-12-03,13:39:57,19.0593220,72.9070950
2024-12-03,13:39:58,19.0593110,72.9071320
2024-12-03,13:39:59,19.0592970,72.9071720
2024-12-03,13:40:00,19.0592790,72.9072110
2024-12-03,13:40:01,19.0592620,72.9072440
2024-12-03,13:40:02,19.0592460,72.9072810
2024-12-03,13:40:03,19.0592290,72.9073120
2024-12-03,13:40:04,19.0592130,72.9073440
