date,time,latitude,longitude
2025-01-12,13:31:28,19.0618230,72.9013070
2025-01-12,13:31:29,19.0618230,72.9013080
2025-01-12,13:32:15,19.0618240,72.9013100
2025-01-12,13:32:16,19.0618250,72.9013110
2025-01-12,13:32:17,19.0618260,72.9013130
2025-01-12,13:32:18,19.0618270,72.9013150
2025-01-12,13:32:19,19.0618290,72.9013170
2025-01-12,13:32:20,19.0618300,72.9013190
2025-01-12,13:32:21,19.0618310,72.9013210
2025-01-12,13:32:22,19.0618320,72.9013220
2025-01-12,13:32:23,19.0618330,72.9013240
2025-01-12,13:32:24,19.0618340,72.9013260
2025-01-12,13:32:25,19.0618350,72.9013280
2025-01-12,13:32:26,19.0618240,72.9013470
2025-01-12,13:32:27,19.0618180,72.9013590
2025-01-12,13:32:28,19.0618130,72.9013700
2025-01-12,13:32:29,19.0617990,72.9014090
2025-01-12,13:32:30,19.0617940,72.9014230
2025-01-12,13:32:31,19.0617830,72.9014530
2025-01-12,13:32:32,19.0617720,72.9014810
2025-01-12,13:32:33,19.0617600,72.9015170
2025-01-12,13:32:34,19.0617460,72.9015550
2025-01-12,13:32:35,19.0617350,72.9015880
2025-01-12,13:32:36,19.0617240,72.9016220
2025-01-12,13:32:37,19.0617130,72.9016540
2025-01-12,13:32:38,19.0617020,72.9016870
2025-01-12,13:32:39,19.0616880,72.9017200
2025-01-12,13:32:40,19.0616720,72.9017490
2025-01-12,13:32:41,19.0616540,72.9017760
2025-01-12,13:32:42,19.0616410,72.9018040
2025-01-12,13:32:43,19.0616330,72.9018330
2025-01-12,13:32:44,19.0616160,72.9018720
2025-01-12,13:32:45,19.0616090,72.9018860
2025-01-12,13:32:46,19.0615920,72.9019260
2025-01-12,13:32:47,19.0615770,72.9019630
2025-01-12,13:32:48,19.0615640,72.9019990
2025-01-12,13:32:49,19.0615480,72.9020360
2025-01-12,13:32:50,19.0615300,72.9020750
2025-01-12,13:32:51,19.0615130,72.9021000
2025-01-12,13:32:52,19.0614880,72.9021290
