date,time,latitude,longitude
2024-12-09,13:20:56,19.0618620,72.9015010
2024-12-09,13:20:57,19.0618410,72.9015150
2024-12-09,13:20:58,19.0618330,72.9015240
2024-12-09,13:20:59,19.0618250,72.9015340
2024-12-09,13:21:00,19.0618180,72.9015430
2024-12-09,13:21:01,19.0618100,72.9015530
2024-12-09,13:21:02,19.0618020,72.9015620
2024-12-09,13:21:03,19.0617940,72.9015720
2024-12-09,13:21:04,19.0617860,72.9015810
2024-12-09,13:21:05,19.0617770,72.9016250
2024-12-09,13:21:06,19.0617860,72.9016820
2024-12-09,13:21:07,19.0617670,72.9017070
2024-12-09,13:21:08,19.0617520,72.9017440
2024-12-09,13:21:09,19.0617340,72.9017830
2024-12-09,13:21:10,19.0617110,72.9018210
2024-12-09,13:21:11,19.0616960,72.9018570
2024-12-09,13:21:12,19.0616840,72.9018920
2024-12-09,13:21:13,19.0616680,72.9019350
2024-12-09,13:21:14,19.0616450,72.9019780
2024-12-09,13:21:15,19.0616240,72.9020190
2024-12-09,13:21:16,19.0616070,72.9020640
2024-12-09,13:21:17,19.0615900,72.9020940
2024-12-09,13:21:18,19.0615750,72.9021290
2024-12-09,13:21:19,19.0615630,72.9021620
2024-12-09,13:21:20,19.0615550,72.9021960
2024-12-09,13:21:21,19.0615430,72.9022260
2024-12-09,13:21:22,19.0615330,72.9022550
2024-12-09,13:21:23,19.0615220,72.9022820
2024-12-09,13:21:24,19.0615010,72.9023110
2024-12-09,13:21:25,19.0614910,72.9023430
2024-12-09,13:21:26,19.0614830,72.9023760
2024-12-09,13:21:27,19.0614650,72.9024190
2024-12-09,13:21:28,19.0614480,72.9024580
2024-12-09,13:21:29,19.0614310,72.9024880
2024-12-09,13:21:30,19.0614220,72.9025000
2024-12-09,13:21:31,19.0614080,72.9025160
2024-12-09,13:21:32,19.0613890,72.9025370
2024-12-09,13:21:33,19.0613730,72.9025640
2024-12-09,13:21:34,19.0613560,72.9026000
2024-12-09,13:21:35,19.0613440,72.9026320
2024-12-09,13:21:36,19.0613290,72.9026710
2024-12-09,13:21:37,19.0613140,72.9027060
2024-12-09,13:21:38,19.0612940,72.9027510
2024-12-09,13:21:39,19.0612800,72.9027920
2024-12-09,13:21:40,19.0612640,72.9028300
2024-12-09,13:21:41,19.0612510,72.9028700
2024-12-09,13:21:42,19.0612330,72.9029070
2024-12-09,13:21:43,19.0611920,72.9029380
2024-12-09,13:21:44,19.0611740,72.9029860
2024-12-09,13:21:45,19.0611540,72.9030270
2024-12-09,13:21:46,19.0611430,72.9030690
2024-12-09,13:21:47,19.0611290,72.9031120
2024-12-09,13:21:48,19.0611130,72.9031570
2024-12-09,13:21:49,19.0610880,72.9032060
2024-12-09,13:21:50,19.0610650,72.9032500
2024-12-09,13:21:51,19.0610460,72.9032880
2024-12-09,13:21:52,19.0610230,72.9033300
2024-12-09,13:21:53,19.0610060,72.9033600
2024-12-09,13:21:54,19.0609770,72.9033890
2024-12-09,13:21:55,19.0609570,72.9034180
2024-12-09,13:21:56,19.0609400,72.9034510
2024-12-09,13:21:57,19.0609170,72.9034820
2024-12-09,13:21:58,19.0609150,72.9035310
2024-12-09,13:21:59,19.0608850,72.9035760
2024-12-09,13:22:00,19.0608580,72.9036300
2024-12-09,13:22:01,19.0608380,72.9036780
2024-12-09,13:22:02,19.0608170,72.9037250
2024-12-09,13:22:03,19.0608010,72.9037670
2024-12-09,13:22:04,19.0607820,72.9038070
2024-12-09,13:22:05,19.0607500,72.9038430
2024-12-09,13:22:06,19.0607280,72.9038920
2024-12-09,13:22:07,19.0607120,72.9039420
2024-12-09,13:22:08,19.0606820,72.9039850
2024-12-09,13:22:09,19.0606550,72.9040300
2024-12-09,13:22:10,19.0606240,72.9040910
2024-12-09,13:22:11,19.0605970,72.9041280
2024-12-09,13:22:12,19.0605880,72.9041580
2024-12-09,13:22:13,19.0605830,72.9042010
2024-12-09,13:22:14,19.0605790,72.9042420
2024-12-09,13:22:15,19.0605800,72.9042900
2024-12-09,13:22:16,19.0605760,72.9043360
2024-12-09,13:22:17,19.0605630,72.9043840
2024-12-09,13:22:18,19.0605580,72.9044260
2024-12-09,13:22:19,19.0605370,72.9044740
2024-12-09,13:22:20,19.0605300,72.9045280
2024-12-09,13:22:21,19.0605260,72.9045760
2024-12-09,13:22:22,19.0605110,72.9046210
2024-12-09,13:22:23,19.0604870,72.9046580
2024-12-09,13:22:24,19.0604880,72.9047070
2024-12-09,13:22:25,19.0604730,72.9047580
2024-12-09,13:22:26,19.0604630,72.9048000
2024-12-09,13:22:27,19.0604410,72.9048350
2024-12-09,13:22:28,19.0604220,72.9048810
2024-12-09,13:22:29,19.0604000,72.9049270
2024-12-09,13:22:30,19.0603680,72.9049740
2024-12-09,13:22:31,19.0603370,72.9050170
2024-12-09,13:22:32,19.0603080,72.9050640
2024-12-09,13:22:33,19.0602430,72.9050950
2024-12-09,13:22:34,19.0602290,72.9051430
2024-12-09,13:22:35,19.0602160,72.9051990
2024-12-09,13:22:36,19.0601940,72.9052370
2024-12-09,13:22:37,19.0601750,72.9052740
2024-12-09,13:22:38,19.0601500,72.9053110
2024-12-09,13:22:39,19.0601270,72.9053220
2024-12-09,13:22:40,19.0601160,72.9053300
2024-12-09,13:22:41,19.0600970,72.9053640
2024-12-09,13:22:42,19.0600930,72.9053760
2024-12-09,13:22:43,19.0600830,72.9053910
2024-12-09,13:22:44,19.0600700,72.9054170
2024-12-09,13:22:45,19.0600630,72.9054270
2024-12-09,13:22:46,19.0600450,72.9054610
2024-12-09,13:22:47,19.0600320,72.9054940
2024-12-09,13:22:48,19.0599780,72.9055190
2024-12-09,13:22:49,19.0599540,72.9055490
2024-12-09,13:22:50,19.0599380,72.9055730
2024-12-09,13:22:51,19.0599200,72.9056060
2024-12-09,13:22:52,19.0599040,72.9056420
2024-12-09,13:22:53,19.0598970,72.9056550
2024-12-09,13:22:54,19.0598870,72.9056820
2024-12-09,13:22:55,19.0598710,72.9057100
2024-12-09,13:22:56,19.0598680,72.9057250
2024-12-09,13:22:57,19.0598560,72.9057610
2024-12-09,13:22:58,19.0598420,72.9058020
2024-12-09,13:22:59,19.0598260,72.9058350
2024-12-09,13:23:00,19.0598130,72.9058740
2024-12-09,13:23:01,19.0598110,72.9058960
2024-12-09,13:23:02,19.0597670,72.9059600
2024-12-09,13:23:03,19.0597470,72.9059980
2024-12-09,13:23:04,19.0597270,72.9060440
2024-12-09,13:23:05,19.0597190,72.9060810
2024-12-09,13:23:06,19.0597130,72.9061180
2024-12-09,13:23:07,19.0596970,72.9061590
2024-12-09,13:23:08,19.0596640,72.9062230
2024-12-09,13:23:09,19.0596470,72.9062680
2024-12-09,13:23:10,19.0596280,72.9063100
2024-12-09,13:23:11,19.0596070,72.9063590
2024-12-09,13:23:12,19.0595920,72.9064030
2024-12-09,13:23:13,19.0595750,72.9064460
2024-12-09,13:23:14,19.0595590,72.9064900
2024-12-09,13:23:15,19.0595450,72.9065320
2024-12-09,13:23:16,19.0595300,72.9065750
2024-12-09,13:23:17,19.0595140,72.9066210
2024-12-09,13:23:18,19.0595060,72.9066640
2024-12-09,13:23:19,19.0594950,72.9067110
2024-12-09,13:23:20,19.0594650,72.9067560
2024-12-09,13:23:21,19.0594470,72.9067910
2024-12-09,13:23:22,19.0594260,72.9068340
2024-12-09,13:23:23,19.0594130,72.9068820
2024-12-09,13:23:24,19.0594060,72.9069310
